gml_id,ust_katego,alt_katego,ad,geojson
bursa_sanayinoktalari.1,SANAYİ,FABRİKALAR,UZMAN KATAFOREZ,"{""type"":""Point"",""coordinates"":[28.96204536,40.238651483]}"
bursa_sanayinoktalari.2,SANAYİ,FABRİKALAR,ORBAY KİMYA,"{""type"":""Point"",""coordinates"":[28.959131107,40.240849701]}"
bursa_sanayinoktalari.3,SANAYİ,FABRİKALAR,DERVİŞOĞULLARI,"{""type"":""Point"",""coordinates"":[28.958556478,40.240358682]}"
bursa_sanayinoktalari.4,SANAYİ,FABRİKALAR,KADRİ UĞUR BOYA,"{""type"":""Point"",""coordinates"":[28.956165131,40.238511933]}"
bursa_sanayinoktalari.5,SANAYİ,FABRİKALAR,SONOCO,"{""type"":""Point"",""coordinates"":[28.956762371,40.239063311]}"
bursa_sanayinoktalari.6,SANAYİ,FABRİKALAR,OTTOMAN,"{""type"":""Point"",""coordinates"":[28.958218697,40.239993184]}"
bursa_sanayinoktalari.7,SANAYİ,FABRİKALAR,BİESSECİ,"{""type"":""Point"",""coordinates"":[28.959848837,40.238720579]}"
bursa_sanayinoktalari.8,SANAYİ,FABRİKALAR,SÖZDEMİR TEKSTİL,"{""type"":""Point"",""coordinates"":[28.956914607,40.237495324]}"
bursa_sanayinoktalari.9,SANAYİ,FABRİKALAR,MİSTAŞ,"{""type"":""Point"",""coordinates"":[28.956245457,40.236289618]}"
bursa_sanayinoktalari.10,SANAYİ,FABRİKALAR,AREL KİMYA,"{""type"":""Point"",""coordinates"":[28.955874698,40.236600845]}"
bursa_sanayinoktalari.11,SANAYİ,FABRİKALAR,NOVETUD OTOMOTİV,"{""type"":""Point"",""coordinates"":[28.955578344,40.236815814]}"
bursa_sanayinoktalari.12,SANAYİ,FABRİKALAR,PROMETAL,"{""type"":""Point"",""coordinates"":[28.958292456,40.235778685]}"
bursa_sanayinoktalari.13,SANAYİ,FABRİKALAR,ZORLU ENERJİ,"{""type"":""Point"",""coordinates"":[28.955508046,40.237685739]}"
bursa_sanayinoktalari.14,SANAYİ,FABRİKALAR,ERMETAL,"{""type"":""Point"",""coordinates"":[29.063225113,40.274273286]}"
bursa_sanayinoktalari.15,SANAYİ,FABRİKALAR,BÜROSİT,"{""type"":""Point"",""coordinates"":[29.063027926,40.271059624]}"
bursa_sanayinoktalari.16,SANAYİ,FABRİKALAR,ERMETAL,"{""type"":""Point"",""coordinates"":[29.063003139,40.271030117]}"
bursa_sanayinoktalari.17,SANAYİ,FABRİKALAR,RÜYA PİKE,"{""type"":""Point"",""coordinates"":[29.061557537,40.270719834]}"
bursa_sanayinoktalari.18,SANAYİ,FABRİKALAR,SMAÇ,"{""type"":""Point"",""coordinates"":[29.057649649,40.274325358]}"
bursa_sanayinoktalari.19,SANAYİ,FABRİKALAR,NBS,"{""type"":""Point"",""coordinates"":[29.057570951,40.274168414]}"
bursa_sanayinoktalari.20,SANAYİ,FABRİKALAR,ŞİŞTEKS,"{""type"":""Point"",""coordinates"":[29.057389983,40.27384957]}"
bursa_sanayinoktalari.21,SANAYİ,FABRİKALAR,İBAŞ,"{""type"":""Point"",""coordinates"":[29.05832169,40.272252475]}"
bursa_sanayinoktalari.22,SANAYİ,FABRİKALAR,B PLAS,"{""type"":""Point"",""coordinates"":[29.059600251,40.27193355]}"
bursa_sanayinoktalari.23,SANAYİ,FABRİKALAR,SAVRANOĞLULLARI,"{""type"":""Point"",""coordinates"":[29.069772462,40.269769468]}"
bursa_sanayinoktalari.24,SANAYİ,FABRİKALAR,AYCEN,"{""type"":""Point"",""coordinates"":[29.069742684,40.269770361]}"
bursa_sanayinoktalari.25,SANAYİ,FABRİKALAR,TOPÇESAN,"{""type"":""Point"",""coordinates"":[29.074708861,40.268408125]}"
bursa_sanayinoktalari.26,SANAYİ,FABRİKALAR,ASCAN,"{""type"":""Point"",""coordinates"":[29.073363912,40.270120206]}"
bursa_sanayinoktalari.27,SANAYİ,FABRİKALAR,ASSAN HANİL,"{""type"":""Point"",""coordinates"":[29.058123395,40.275691289]}"
bursa_sanayinoktalari.28,SANAYİ,FABRİKALAR,ŞARMEN&KARACA,"{""type"":""Point"",""coordinates"":[29.080337922,40.259290535]}"
bursa_sanayinoktalari.29,SANAYİ,FABRİKALAR,WOSTECH,"{""type"":""Point"",""coordinates"":[29.076372808,40.276459647]}"
bursa_sanayinoktalari.30,SANAYİ,FABRİKALAR,TREND TEKSTİL,"{""type"":""Point"",""coordinates"":[29.058286473,40.271864473]}"
bursa_sanayinoktalari.31,SANAYİ,FABRİKALAR,TERZİOĞLU TEKSTİL,"{""type"":""Point"",""coordinates"":[29.075825448,40.270988853]}"
bursa_sanayinoktalari.32,SANAYİ,FABRİKALAR,ALEYA TEKSTİL,"{""type"":""Point"",""coordinates"":[29.060214555,40.268275003]}"
bursa_sanayinoktalari.33,SANAYİ,FABRİKALAR,SÖKÜCÜLER,"{""type"":""Point"",""coordinates"":[29.064386073,40.271080203]}"
bursa_sanayinoktalari.34,SANAYİ,FABRİKALAR,REVAR,"{""type"":""Point"",""coordinates"":[29.056870363,40.273732899]}"
bursa_sanayinoktalari.35,SANAYİ,FABRİKALAR,PRUSA,"{""type"":""Point"",""coordinates"":[29.074025803,40.265541007]}"
